"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"10/21/2024 07:00:00 AM","subway","456","61 St-Woodside (7)","Queens","metrocard","Metrocard - Unlimited 7-Day","156","0","40.74563","-73.902985","POINT (-73.902985 40.74563)"
"10/21/2024 07:00:00 AM","subway","428","174 St (2,5)","Bronx","omny","OMNY - Full Fare","149","9","40.837288","-73.88773","POINT (-73.88773 40.837288)"
"10/21/2024 07:00:00 AM","subway","364","Zerega Av (6)","Bronx","metrocard","Metrocard - Unlimited 7-Day","19","0","40.836487","-73.84704","POINT (-73.84704 40.836487)"
"10/21/2024 07:00:00 AM","subway","26","DeKalb Av (B,Q,R)","Brooklyn","omny","OMNY - Students","120","13","40.690636","-73.98183","POINT (-73.98183 40.690636)"
"10/21/2024 07:00:00 AM","subway","87","Crescent St (J,Z)","Brooklyn","omny","OMNY - Other","2","0","40.683193","-73.87379","POINT (-73.87379 40.683193)"
"10/21/2024 07:00:00 AM","subway","464","Vernon Blvd-Jackson Av (7)","Queens","metrocard","Metrocard - Unlimited 30-Day","124","0","40.742626","-73.95358","POINT (-73.95358 40.742626)"
"10/21/2024 07:00:00 AM","subway","344","Kingston Av (3)","Brooklyn","omny","OMNY - Other","1","0","40.6694","-73.94216","POINT (-73.94216 40.6694)"
"10/21/2024 07:00:00 AM","subway","461","Queensboro Plaza (7,N,W)","Queens","metrocard","Metrocard - Fair Fare","19","1","40.750584","-73.9402","POINT (-73.9402 40.750584)"
"10/21/2024 07:00:00 AM","subway","280","Jamaica-Van Wyck (E)","Queens","metrocard","Metrocard - Unlimited 7-Day","39","0","40.702564","-73.81686","POINT (-73.81686 40.702564)"
"10/21/2024 07:00:00 AM","subway","217","170 St (B,D)","Bronx","metrocard","Metrocard - Full Fare","85","5","40.839306","-73.9134","POINT (-73.9134 40.839306)"
"10/21/2024 07:00:00 AM","subway","418","233 St (2,5)","Bronx","metrocard","Metrocard - Other","15","0","40.893192","-73.857475","POINT (-73.857475 40.893192)"
"10/21/2024 07:00:00 AM","subway","463","Hunters Point Av (7)","Queens","metrocard","Metrocard - Unlimited 30-Day","23","0","40.742214","-73.94891","POINT (-73.94891 40.742214)"
"10/21/2024 07:00:00 AM","subway","42","Prospect Park (B,Q,S)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","37","0","40.661613","-73.96225","POINT (-73.96225 40.661613)"
"10/21/2024 07:00:00 AM","subway","175","Hoyt-Schermerhorn Sts (A,C,G)","Brooklyn","metrocard","Metrocard - Fair Fare","9","0","40.688484","-73.985","POINT (-73.985 40.688484)"
"10/21/2024 07:00:00 AM","subway","265","Grand Av-Newtown (M,R)","Queens","metrocard","Metrocard - Seniors & Disability","83","13","40.737015","-73.87722","POINT (-73.87722 40.737015)"
"10/21/2024 07:00:00 AM","subway","58","Coney Island-Stillwell Av (D,F,N,Q)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","112","0","40.577423","-73.98123","POINT (-73.98123 40.577423)"
"10/21/2024 07:00:00 AM","subway","284","Nassau Av (G)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","14","0","40.724636","-73.95128","POINT (-73.95128 40.724636)"
"10/21/2024 07:00:00 AM","subway","147","175 St (A)","Manhattan","metrocard","Metrocard - Full Fare","129","2","40.84739","-73.939705","POINT (-73.939705 40.84739)"
"10/21/2024 07:00:00 AM","subway","611","Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","Manhattan","metrocard","Metrocard - Fair Fare","133","3","40.75731","-73.986755","POINT (-73.986755 40.75731)"
"10/21/2024 07:00:00 AM","subway","283","Greenpoint Av (G)","Brooklyn","metrocard","Metrocard - Seniors & Disability","14","1","40.731354","-73.95445","POINT (-73.95445 40.731354)"
"10/21/2024 07:00:00 AM","subway","22","Rector St (R,W)","Manhattan","metrocard","Metrocard - Fair Fare","3","0","40.70722","-74.01334","POINT (-74.01334 40.70722)"
"10/21/2024 07:00:00 AM","subway","33","45 St (R)","Brooklyn","omny","OMNY - Full Fare","291","0","40.648937","-74.01001","POINT (-74.01001 40.648937)"
"10/21/2024 07:00:00 AM","subway","395","103 St (6)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","66","0","40.7906","-73.94748","POINT (-73.94748 40.7906)"
"10/21/2024 07:00:00 AM","subway","177","Clinton-Washington Avs (C)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","31","0","40.68326","-73.965836","POINT (-73.965836 40.68326)"
"10/21/2024 07:00:00 AM","subway","210","Norwood-205 St (D)","Bronx","metrocard","Metrocard - Unlimited 30-Day","78","0","40.87481","-73.87885","POINT (-73.87885 40.87481)"
"10/21/2024 07:00:00 AM","subway","193","104 St (A)","Queens","metrocard","Metrocard - Full Fare","51","0","40.68171","-73.837685","POINT (-73.837685 40.68171)"
"10/21/2024 07:00:00 AM","subway","207","Beach 36 St (A)","Queens","omny","OMNY - Other","2","0","40.595398","-73.76817","POINT (-73.76817 40.595398)"
"10/21/2024 07:00:00 AM","subway","386","Mt Eden Av (4)","Bronx","omny","OMNY - Students","124","1","40.844433","-73.91469","POINT (-73.91469 40.844433)"
"10/21/2024 07:00:00 AM","subway","420","219 St (2,5)","Bronx","metrocard","Metrocard - Seniors & Disability","8","0","40.883896","-73.86263","POINT (-73.86263 40.883896)"
"10/21/2024 07:00:00 AM","subway","247","Bay Pkwy (F)","Brooklyn","metrocard","Metrocard - Fair Fare","9","3","40.62077","-73.975266","POINT (-73.975266 40.62077)"
"10/21/2024 07:00:00 AM","subway","366","Parkchester (6)","Bronx","metrocard","Metrocard - Unlimited 7-Day","79","0","40.833225","-73.86082","POINT (-73.86082 40.833225)"
"10/21/2024 07:00:00 AM","subway","158","86 St (C,B)","Manhattan","metrocard","Metrocard - Other","19","1","40.78587","-73.96892","POINT (-73.96892 40.78587)"
"10/21/2024 07:00:00 AM","subway","418","233 St (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","29","0","40.893192","-73.857475","POINT (-73.857475 40.893192)"
"10/21/2024 07:00:00 AM","subway","370","Whitlock Av (6)","Bronx","omny","OMNY - Students","74","1","40.826527","-73.886284","POINT (-73.886284 40.826527)"
"10/21/2024 07:00:00 AM","subway","364","Zerega Av (6)","Bronx","omny","OMNY - Students","134","1","40.836487","-73.84704","POINT (-73.84704 40.836487)"
"10/21/2024 07:00:00 AM","subway","288","Myrtle-Willoughby Avs (G)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","21","0","40.69457","-73.94904","POINT (-73.94904 40.69457)"
"10/21/2024 07:00:00 AM","subway","617","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","140","0","40.68446","-73.97689","POINT (-73.97689 40.68446)"
"10/21/2024 07:00:00 AM","subway","628","Fulton St (A,C,J,Z,2,3,4,5)","Manhattan","omny","OMNY - Other","2","0","40.710373","-74.00758","POINT (-74.00758 40.710373)"
"10/21/2024 07:00:00 AM","subway","201","Beach 98 St (A,S)","Queens","metrocard","Metrocard - Unlimited 30-Day","3","0","40.585308","-73.82056","POINT (-73.82056 40.585308)"
"10/21/2024 07:00:00 AM","subway","39","Bay Ridge-95 St (R)","Brooklyn","metrocard","Metrocard - Fair Fare","16","0","40.616623","-74.030876","POINT (-74.030876 40.616623)"
"10/21/2024 07:00:00 AM","subway","419","225 St (2,5)","Bronx","metrocard","Metrocard - Seniors & Disability","13","2","40.888023","-73.860344","POINT (-73.860344 40.888023)"
"10/21/2024 07:00:00 AM","subway","231","Grand St (B,D)","Manhattan","omny","OMNY - Seniors & Disability","1","1","40.718266","-73.99375","POINT (-73.99375 40.718266)"
