"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"10/21/2024 05:00:00 PM","subway","311","86 St (1)","Manhattan","metrocard","Metrocard - Full Fare","139","12","40.788643","-73.97622","POINT (-73.97622 40.788643)"
"10/21/2024 05:00:00 PM","subway","309","103 St (1)","Manhattan","omny","OMNY - Full Fare","322","2","40.799446","-73.968376","POINT (-73.968376 40.799446)"
"10/21/2024 05:00:00 PM","subway","394","110 St (6)","Manhattan","metrocard","Metrocard - Fair Fare","39","1","40.79502","-73.94425","POINT (-73.94425 40.79502)"
"10/21/2024 05:00:00 PM","subway","124","Montrose Av (L)","Brooklyn","omny","OMNY - Other","1","0","40.70774","-73.93985","POINT (-73.93985 40.70774)"
"10/21/2024 05:00:00 PM","subway","361","Buhre Av (6)","Bronx","metrocard","Metrocard - Seniors & Disability","2","0","40.84681","-73.832565","POINT (-73.832565 40.84681)"
"10/21/2024 05:00:00 PM","subway","78","Avenue U (N)","Brooklyn","omny","OMNY - Full Fare","41","6","40.597473","-73.97913","POINT (-73.97913 40.597473)"
"10/21/2024 05:00:00 PM","subway","328","WTC Cortlandt (1)","Manhattan","omny","OMNY - Seniors & Disability","10","0","40.711834","-74.01219","POINT (-74.01219 40.711834)"
"10/21/2024 05:00:00 PM","subway","399","68 St-Hunter College (6)","Manhattan","omny","OMNY - Students","234","12","40.768143","-73.96387","POINT (-73.96387 40.768143)"
"10/21/2024 05:00:00 PM","subway","313","72 St (1,2,3)","Manhattan","omny","OMNY - Other","6","0","40.778454","-73.98197","POINT (-73.98197 40.778454)"
"10/21/2024 05:00:00 PM","subway","371","Hunts Point Av (6)","Bronx","metrocard","Metrocard - Unlimited 30-Day","41","0","40.82095","-73.89055","POINT (-73.89055 40.82095)"
"10/21/2024 05:00:00 PM","subway","247","Bay Pkwy (F)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.62077","-73.975266","POINT (-73.975266 40.62077)"
"10/21/2024 05:00:00 PM","subway","265","Grand Av-Newtown (M,R)","Queens","metrocard","Metrocard - Full Fare","70","17","40.737015","-73.87722","POINT (-73.87722 40.737015)"
"10/21/2024 05:00:00 PM","subway","214","182-183 Sts (B,D)","Bronx","metrocard","Metrocard - Other","4","0","40.856094","-73.90074","POINT (-73.90074 40.856094)"
"10/21/2024 05:00:00 PM","subway","286","Broadway (G)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","18","0","40.706093","-73.95031","POINT (-73.95031 40.706093)"
"10/21/2024 05:00:00 PM","subway","451","Junction Blvd (7)","Queens","metrocard","Metrocard - Seniors & Disability","22","2","40.749146","-73.86953","POINT (-73.86953 40.749146)"
"10/21/2024 05:00:00 PM","subway","75","20 Av (N)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","12","0","40.61741","-73.98502","POINT (-73.98502 40.61741)"
"10/21/2024 05:00:00 PM","subway","397","86 St (4,5,6)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","306","0","40.77949","-73.95559","POINT (-73.95559 40.77949)"
"10/21/2024 05:00:00 PM","subway","111","Seneca Av (M)","Queens","metrocard","Metrocard - Unlimited 30-Day","6","0","40.702763","-73.90774","POINT (-73.90774 40.702763)"
"10/21/2024 05:00:00 PM","subway","393","116 St (6)","Manhattan","metrocard","Metrocard - Full Fare","69","2","40.79863","-73.94162","POINT (-73.94162 40.79863)"
"10/21/2024 05:00:00 PM","subway","620","Court St (R)/Borough Hall (2,3,4,5)","Brooklyn","metrocard","Metrocard - Seniors & Disability","99","5","40.6941","-73.99","POINT (-73.99 40.6941)"
"10/21/2024 05:00:00 PM","subway","393","116 St (6)","Manhattan","omny","OMNY - Seniors & Disability","3","0","40.79863","-73.94162","POINT (-73.94162 40.79863)"
"10/21/2024 05:00:00 PM","subway","39","Bay Ridge-95 St (R)","Brooklyn","omny","OMNY - Other","1","0","40.616623","-74.030876","POINT (-74.030876 40.616623)"
"10/21/2024 05:00:00 PM","subway","299","Dyckman St (1)","Manhattan","omny","OMNY - Other","3","0","40.86053","-73.92554","POINT (-73.92554 40.86053)"
"10/21/2024 05:00:00 PM","subway","136","New Lots Av (L)","Brooklyn","omny","OMNY - Students","18","2","40.658733","-73.89923","POINT (-73.89923 40.658733)"
"10/21/2024 05:00:00 PM","subway","407","Astor Pl (6)","Manhattan","omny","OMNY - Seniors & Disability","8","0","40.730053","-73.99107","POINT (-73.99107 40.730053)"
"10/21/2024 05:00:00 PM","subway","447","Flushing-Main St (7)","Queens","metrocard","Metrocard - Fair Fare","166","26","40.7596","-73.83003","POINT (-73.83003 40.7596)"
"10/21/2024 05:00:00 PM","subway","22","Rector St (R,W)","Manhattan","metrocard","Metrocard - Other","11","0","40.70722","-74.01334","POINT (-74.01334 40.70722)"
"10/21/2024 05:00:00 PM","subway","318","34 St-Penn Station (1,2,3)","Manhattan","omny","OMNY - Full Fare","2,613","20","40.750374","-73.99106","POINT (-73.99106 40.750374)"
"10/21/2024 05:00:00 PM","subway","220","155 St (B,D)","Manhattan","omny","OMNY - Other","2","0","40.830135","-73.93821","POINT (-73.93821 40.830135)"
"10/21/2024 05:00:00 PM","subway","177","Clinton-Washington Avs (C)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","22","0","40.68326","-73.965836","POINT (-73.965836 40.68326)"
"10/21/2024 05:00:00 PM","subway","238","Smith-9 Sts (F,G)","Brooklyn","omny","OMNY - Students","30","4","40.67358","-73.99596","POINT (-73.99596 40.67358)"
"10/21/2024 05:00:00 PM","subway","48","Avenue H (Q)","Brooklyn","omny","OMNY - Students","29","0","40.62927","-73.96164","POINT (-73.96164 40.62927)"
"10/21/2024 05:00:00 PM","subway","369","Elder Av (6)","Bronx","metrocard","Metrocard - Unlimited 30-Day","10","0","40.828583","-73.87916","POINT (-73.87916 40.828583)"
"10/21/2024 05:00:00 PM","subway","449","111 St (7)","Queens","metrocard","Metrocard - Seniors & Disability","5","1","40.75173","-73.85533","POINT (-73.85533 40.75173)"
"10/21/2024 05:00:00 PM","subway","451","Junction Blvd (7)","Queens","metrocard","Metrocard - Other","17","0","40.749146","-73.86953","POINT (-73.86953 40.749146)"
"10/21/2024 05:00:00 PM","subway","353","President St-Medgar Evers College (2,5)","Brooklyn","metrocard","Metrocard - Fair Fare","6","0","40.667885","-73.95068","POINT (-73.95068 40.667885)"
"10/21/2024 05:00:00 PM","subway","635","South Ferry (1)/Whitehall St (R,W)","Manhattan","omny","OMNY - Full Fare","1,914","45","40.703087","-74.01299","POINT (-74.01299 40.703087)"
"10/21/2024 05:00:00 PM","subway","107","Broad St (J,Z)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","59","0","40.706474","-74.011055","POINT (-74.011055 40.706474)"
"10/21/2024 05:00:00 PM","subway","362","Middletown Rd (6)","Bronx","omny","OMNY - Other","1","0","40.843864","-73.83632","POINT (-73.83632 40.843864)"
"10/21/2024 05:00:00 PM","subway","270","46 St (M,R)","Queens","metrocard","Metrocard - Seniors & Disability","6","0","40.756313","-73.91333","POINT (-73.91333 40.756313)"
