stop_id,stop_name,routes_at_stop
G26,Greenpoint Av,G
G28,Nassau Av,G
G29,Metropolitan Av,G
G30,Broadway,G
G31,Flushing Av,G
G32,Myrtle-Willoughby Avs,G
G33,Bedford-Nostrand Avs,G
G34,Classon Av,G
G35,Clinton-Washington Avs,G
G36,Fulton St,G
H01,Aqueduct Racetrack,A
H02,Aqueduct-N Conduit Av,A
H03,Howard Beach-JFK Airport,A
H04,Broad Channel,"A,S"
H06,Beach 67 St,A
H07,Beach 60 St,A
H08,Beach 44 St,A
H09,Beach 36 St,A
H10,Beach 25 St,A
H11,Far Rockaway-Mott Av,A
H12,Beach 90 St,"A,S"
H13,Beach 98 St,"A,S"
H14,Beach 105 St,"A,S"
H15,Rockaway Park-Beach 116 St,"A,S"
J12,121 St,"J,Z"
J13,111 St,J
J14,104 St,"J,Z"
J15,Woodhaven Blvd,"J,Z"
J16,85 St-Forest Pkwy,J
J17,75 St-Elderts Ln,"J,Z"
J19,Cypress Hills,J
J20,Crescent St,"J,Z"
J21,Norwood Av,"J,Z"
J22,Cleveland St,J
J23,Van Siclen Av,"J,Z"
J24,Alabama Av,"J,Z"
J27,Broadway Junction,"J,Z"
J28,Chauncey St,"J,Z"
J29,Halsey St,J
J30,Gates Av,"J,Z"
J31,Kosciuszko St,J
L01,8 Av,L
L02,6 Av,L
L03,14 St-Union Sq,L
L05,3 Av,L
L06,1 Av,L
L08,Bedford Av,L
L10,Lorimer St,L
L11,Graham Av,L
L12,Grand St,L
L13,Montrose Av,L
L14,Morgan Av,L
L15,Jefferson St,L
L16,DeKalb Av,L
L17,Myrtle-Wyckoff Avs,L
L19,Halsey St,L
L20,Wilson Av,L
L21,Bushwick Av-Aberdeen St,L
L22,Broadway Junction,L
L24,Atlantic Av,L
L25,Sutter Av,L
L26,Livonia Av,L
L27,New Lots Av,L
L28,East 105 St,L
L29,Canarsie-Rockaway Pkwy,L
M01,Middle Village-Metropolitan Av,M
M04,Fresh Pond Rd,M
M05,Forest Av,M
M06,Seneca Av,M
M08,Myrtle-Wyckoff Avs,M
M09,Knickerbocker Av,M
M10,Central Av,M
M11,Myrtle Av,"J,M,Z"
M12,Flushing Av,"J,M"
M13,Lorimer St,"J,M"
M14,Hewes St,"J,M"
M16,Marcy Av,"J,M,Z"
M18,Delancey St-Essex St,"J,M,Z"
M19,Bowery,"J,Z"
